medoid_id   closest_id
12891 , 2973
4379 , 880
6326 , 12274
15019 , 8958
11724 , 18438
9056 , 13980
14456 , 13756
2143 , 4709
6813 , 4019
7811 , 413
9964 , 17060
5013 , 3342
10478 , 18471
15352 , 13770
946 , 3161
300 , 14728
17742 , 10712
9964 , 17060
7009 , 3203
3045 , 16512
12992 , 4778
13846 , 9177
7502 , 15982
12201 , 6575
6793 , 19903
285 , 1502
591 , 14138
17651 , 14854
1869 , 9903
2717 , 3027
3744 , 11999
6452 , 10266
15899 , 18219
10941 , 8447
13079 , 14416
13653 , 10653
11834 , 7767
6544 , 942
5969 , 6350
9198 , 3443
17142 , 2009
8984 , 12345
18684 , 4851
1724 , 13132
12023 , 3234
9778 , 17347
15713 , 6919
